,mean_test_score
0,0.7124947789086773
1,0.7285207671433691
2,0.725502370038616
3,0.7275924234217482
4,0.7124947789086773
5,0.7285207671433691
6,0.725502370038616
7,0.7275924234217482
8,0.7222500680426095
9,0.7313066067352751
10,0.7338606972413774
11,0.7317701049068827
12,0.7124947789086773
13,0.7285207671433691
14,0.725502370038616
15,0.7275924234217482
16,0.7124947789086773
17,0.7285207671433691
18,0.725502370038616
19,0.7275924234217482
20,0.7222500680426095
21,0.7313066067352751
22,0.7338606972413774
23,0.7317701049068827
24,0.7124947789086773
25,0.7285207671433691
26,0.725502370038616
27,0.7275924234217482
28,0.7124947789086773
29,0.7285207671433691
30,0.725502370038616
31,0.7275924234217482
32,0.7222500680426095
33,0.7313066067352751
34,0.7338606972413774
35,0.7317701049068827
36,0.7124926231032281
37,0.7259669461129481
38,0.7278247114589144
39,0.7275926928974294
40,0.7124926231032281
41,0.7259669461129481
42,0.7278247114589144
43,0.7275926928974294
44,0.7194620726452541
45,0.7329326229954377
46,0.7338625835711456
47,0.7333985464481758
48,0.7124926231032281
49,0.7259669461129481
50,0.7278247114589144
51,0.7275926928974294
52,0.7124926231032281
53,0.7259669461129481
54,0.7278247114589144
55,0.7275926928974294
56,0.7194620726452541
57,0.7329326229954377
58,0.7338625835711456
59,0.7333985464481758
60,0.7124926231032281
61,0.7259669461129481
62,0.7278247114589144
63,0.7275926928974294
64,0.7124926231032281
65,0.7259669461129481
66,0.7278247114589144
67,0.7275926928974294
68,0.7194620726452541
69,0.7329326229954377
70,0.7338625835711456
71,0.7333985464481758
72,0.7110999727829561
73,0.7236435267899248
74,0.7248065838298423
75,0.7252703514771309
76,0.7110999727829561
77,0.7236435267899248
78,0.7248065838298423
79,0.7252703514771309
80,0.7215534734067924
81,0.7310732407953845
82,0.7336289481555738
83,0.7313068762109564
84,0.7110999727829561
85,0.7236435267899248
86,0.7248065838298423
87,0.7252703514771309
88,0.7110999727829561
89,0.7236435267899248
90,0.7248065838298423
91,0.7252703514771309
92,0.7215534734067924
93,0.7310732407953845
94,0.7336289481555738
95,0.7313068762109564
96,0.7110999727829561
97,0.7236435267899248
98,0.7248065838298423
99,0.7252703514771309
100,0.7110999727829561
101,0.7236435267899248
102,0.7248065838298423
103,0.7252703514771309
104,0.7215534734067924
105,0.7310732407953845
106,0.7336289481555738
107,0.7313068762109564
108,0.7162103096006099
109,0.7255018310872535
110,0.7280572689717617
111,0.7280572689717617
112,0.7162103096006099
113,0.7255018310872535
114,0.7280572689717617
115,0.7280572689717617
116,0.7206245907338092
117,0.7354867135015399
118,0.7347917357198099
119,0.7354880608799459
120,0.7162103096006099
121,0.7255018310872535
122,0.7280572689717617
123,0.7280572689717617
124,0.7162103096006099
125,0.7255018310872535
126,0.7280572689717617
127,0.7280572689717617
128,0.7206245907338092
129,0.7354867135015399
130,0.7347917357198099
131,0.7354880608799459
132,0.7162103096006099
133,0.7255018310872535
134,0.7280572689717617
135,0.7280572689717617
136,0.7162103096006099
137,0.7255018310872535
138,0.7280572689717617
139,0.7280572689717617
140,0.7206245907338092
141,0.7354867135015399
142,0.7347917357198099
143,0.7354880608799459
144,0.7166740772478988
145,0.7315391642481224
146,0.7371124602860215
147,0.7352557728427799
148,0.7166740772478988
149,0.7315391642481224
150,0.7371124602860215
151,0.7352557728427799
152,0.7352546949400551
153,0.7389691477292631
154,0.7450078282685378
155,0.7431503323982527
156,0.7166740772478988
157,0.7315391642481224
158,0.7371124602860215
159,0.7352557728427799
160,0.7164417892107326
161,0.7315391642481224
162,0.7371124602860215
163,0.7352557728427799
164,0.7352546949400551
165,0.7389691477292631
166,0.7450078282685378
167,0.7431503323982527
168,0.7164417892107326
169,0.7315391642481224
170,0.7371124602860215
171,0.7352557728427799
172,0.7166740772478988
173,0.7315391642481224
174,0.7371124602860215
175,0.7352557728427799
176,0.7352546949400551
177,0.7389691477292631
178,0.7450078282685378
179,0.7431503323982527
180,0.7182998240323802
181,0.734557830828557
182,0.7389710340590313
183,0.7380429598130915
184,0.7182998240323802
185,0.734557830828557
186,0.7389710340590313
187,0.7380429598130915
188,0.7331641026055603
189,0.7461706158327741
190,0.7503528784044884
191,0.7473347507754162
192,0.7182998240323802
193,0.734557830828557
194,0.7389710340590313
195,0.7380429598130915
196,0.7185321120695463
197,0.734557830828557
198,0.7389710340590313
199,0.7380429598130915
200,0.7331641026055603
201,0.7461706158327741
202,0.7503528784044884
203,0.7473347507754162
204,0.7180675359952141
205,0.734557830828557
206,0.7389710340590313
207,0.7380429598130915
208,0.7182998240323802
209,0.734557830828557
210,0.7389710340590313
211,0.7380429598130915
212,0.7329318145683943
213,0.7461706158327741
214,0.7503528784044884
215,0.7473347507754162
